,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware!!Total!!Estimate,District of Columbia!!Total!!Estimate,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Citizens 18+,"3,829,788","533,852","5,216,518","2,237,649","26,028,290","4,303,604","2,659,979","754,114","502,670","15,855,982","7,786,111","1,044,019","1,373,714","9,087,338","5,030,200","2,379,570","2,128,111","3,405,618","3,439,830","1,100,974","4,417,293","5,121,488","7,640,514","4,221,515","2,226,474","4,675,531","857,649","1,411,320","2,193,360","1,103,239","6,433,068","1,545,938","14,109,037","7,808,186","576,588","8,943,128","2,903,864","3,200,314","9,918,163","827,415","3,940,745","659,768","5,248,512","19,375,866","2,251,328","518,387","6,354,439","5,529,508","1,408,767","4,480,576","436,049","2,674,230"
18 to 29 years,"761,536","118,299","1,103,708","451,827","5,718,870","914,677","533,356","134,780","127,733","2,768,519","1,681,388","196,482","280,738","1,858,911","1,055,283","499,484","455,826","683,633","688,363","182,002","851,054","1,055,752","1,528,673","824,587","457,887","923,494","167,452","298,615","435,132","204,870","1,206,578","311,860","2,822,867","1,596,563","136,920","1,763,267","621,050","608,600","1,869,629","170,401","769,213","133,300","1,055,553","4,422,269","600,898","101,784","1,302,704","1,109,720","252,657","884,719","84,486","515,864"
30 to 44,"916,381","154,200","1,248,336","546,263","6,742,916","1,192,766","585,677","172,681","169,078","3,563,302","1,971,458","266,397","359,985","2,233,381","1,228,005","566,720","520,570","828,921","899,156","246,316","1,093,030","1,190,699","1,767,384","1,071,390","550,094","1,154,129","208,735","352,610","573,818","246,677","1,473,064","381,474","3,396,167","1,850,628","148,211","2,134,594","746,333","828,951","2,329,111","191,535","927,880","162,930","1,278,771","5,225,154","643,668","114,020","1,587,575","1,471,728","319,324","1,054,501","110,604","584,268"
45 to 64 years,"1,270,535","165,415","1,574,196","719,283","8,082,876","1,335,547","913,711","248,091","123,851","5,122,757","2,579,185","316,533","423,052","2,964,786","1,640,213","749,863","666,488","1,128,758","1,092,389","378,701","1,500,213","1,702,447","2,544,399","1,376,755","723,562","1,519,939","265,391","441,464","690,539","387,134","2,256,507","472,086","4,600,168","2,590,223","167,883","2,959,749","898,990","987,310","3,286,601","271,408","1,284,979","206,349","1,737,603","6,070,495","625,887","171,218","2,085,631","1,736,960","469,461","1,494,887","137,466","841,734"
65 years and over,"881,336","95,938","1,290,278","520,276","5,483,628","860,614","627,235","198,562","82,008","4,401,404","1,554,080","264,607","309,939","2,030,260","1,106,699","563,503","485,227","764,306","759,922","293,955","972,996","1,172,590","1,800,058","948,783","494,931","1,077,969","216,071","318,631","493,871","264,558","1,496,919","380,518","3,289,835","1,770,772","123,574","2,085,518","637,491","775,453","2,432,822","194,071","958,673","157,189","1,176,585","3,657,948","380,875","131,365","1,378,529","1,211,100","367,325","1,046,469","103,493","732,364"
Male,"1,827,345","281,367","2,584,180","1,085,739","12,858,732","2,167,373","1,286,843","359,786","234,461","7,678,891","3,721,152","526,988","684,575","4,422,882","2,457,902","1,177,892","1,053,177","1,661,952","1,656,382","537,607","2,111,600","2,459,498","3,741,885","2,099,079","1,061,407","2,277,424","433,797","700,355","1,100,782","547,189","3,119,809","763,690","6,777,199","3,744,703","297,341","4,348,176","1,423,981","1,577,129","4,835,481","399,258","1,882,964","331,598","2,530,341","9,539,693","1,127,660","255,710","3,104,501","2,766,294","694,950","2,226,041","221,939","1,246,100"
Female,"2,002,443","252,485","2,632,338","1,151,910","13,169,558","2,136,231","1,373,136","394,328","268,209","8,177,091","4,064,959","517,031","689,139","4,664,456","2,572,298","1,201,678","1,074,934","1,743,666","1,783,448","563,367","2,305,693","2,661,990","3,898,629","2,122,436","1,165,067","2,398,107","423,852","710,965","1,092,578","556,050","3,313,259","782,248","7,331,838","4,063,483","279,247","4,594,952","1,479,883","1,623,185","5,082,682","428,157","2,057,781","328,170","2,718,171","9,836,173","1,123,668","262,677","3,249,938","2,763,214","713,817","2,254,535","214,110","1,428,130"
White,"2,610,987","345,600","3,430,873","1,667,273","12,172,620","3,290,590","1,913,891","503,503","214,566","9,898,251","4,420,171","267,647","1,175,845","6,134,943","4,162,371","2,117,368","1,741,872","2,953,936","2,112,470","1,017,803","2,431,228","3,930,305","5,939,306","3,535,388","1,307,122","3,788,425","750,444","1,197,220","1,262,362","999,403","3,993,321","778,214","8,728,110","5,317,974","500,689","7,252,825","2,062,700","2,576,179","7,885,086","645,030","2,664,287","564,787","4,066,716","10,674,262","1,906,034","482,109","4,189,514","4,117,008","1,299,298","3,821,065","383,135","756,884"
Black,"980,926",N,"230,929","326,043","1,662,981","159,927","266,552","153,435","218,198","2,258,578","2,448,678","22,258","8,805","1,281,252","414,764","68,137","112,471","230,700","1,056,453","10,438","1,329,014","306,511","998,724","216,478","787,684","481,485",N,"59,732","207,792","12,915","858,567","32,070","1,995,644","1,614,219","11,774","1,003,402","203,674","56,665","992,554","35,603","983,520","9,703","802,156","2,500,384","20,725","4,903","1,205,750","208,851","41,704","245,141",N,"163,153"
Asian,"35,880","28,259","139,485","21,409","3,780,303","111,009","89,859","20,284","19,448","376,148","238,506","397,968","13,927","415,120","75,317","37,720","45,638","30,311","46,852","10,008","236,208","259,965","165,132","169,267","14,328","65,236","5,504","21,939","183,140","20,337","497,803","19,796","979,654","162,920","4,346","139,158","50,237","115,589","247,962","18,509","48,537","4,944","59,803","817,226","46,514","5,356","350,102","395,856","6,705","92,700","2,652",N
